Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
3336000,1.2802137,0.25380474,459.8695652173913,0.12890643,0.016595516,0.00029800175,0.1993339,0.0009934057,0.987910350591972,0.987910350591972,1.0
3348000,1.2798668,0.2457549,464.5,0.095851205,0.014280454,0.00029799444,0.19933148,0.0009933817,1.5083667068845696,1.5083667068845696,1.0
3360000,1.2790517,0.23893778,452.57142857142856,0.09919076,0.01405977,0.0002979873,0.1993291,0.0009933581,0.8651409277861769,0.8651409277861769,1.0
3372000,1.2778308,0.1861641,480.3333333333333,0.115690775,0.018586429,0.00029798035,0.19932675,0.0009933352,1.2377071439155511,1.2377071439155511,1.0
3384000,1.2756956,0.26864526,482.1818181818182,0.17841147,0.012193845,0.00029797363,0.19932453,0.000993313,1.4944200115544455,1.4944200115544455,1.0
3396000,1.275173,0.26213336,483.27777777777777,0.06750896,0.013936153,0.00029796624,0.19932209,0.0009932886,1.7007437525317073,1.7007437525317073,1.0
3408000,1.2744921,0.24051355,481.8095238095238,0.09280777,0.019520883,0.00029795856,0.19931953,0.0009932633,1.1530450027436019,1.1530450027436019,1.0
3420000,1.2733027,0.20815228,473.25,0.11439482,0.014635298,0.00029795145,0.19931714,0.0009932398,1.182203851067103,1.182203851067103,1.0
3432000,1.2714875,0.28578407,510.0689655172414,0.14579716,0.014046349,0.00029794467,0.1993149,0.0009932172,1.7338459576303895,1.7338459576303895,1.0
3444000,1.2710599,0.28798464,449.60869565217394,0.11498109,0.015686972,0.0002979371,0.19931237,0.0009931924,0.8841714479383969,0.8841714479383969,1.0
3456000,1.2708547,0.2518258,486.5238095238095,0.106521346,0.021784304,0.00029792995,0.19930999,0.0009931689,1.5701000133440608,1.5701000133440608,1.0
3468000,1.2705075,0.25882646,439.0,0.10348522,0.015890637,0.0002979228,0.19930758,0.000993145,1.288395846883456,1.288395846883456,1.0
3480000,1.2706279,0.2760154,457.6857142857143,0.16929558,0.01443109,0.0002979154,0.19930515,0.0009931208,1.0906054037245545,1.0906054037245545,1.0
