Steps,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward
1160000,1.0607022,0.0029999306,-1.343076871564755,884.2307692307693,-0.10992869,-1.3430767967723882
1170000,1.060646,0.00299993,-0.5255555313908391,511.55555555555554,-0.10804734,-0.5255554907230867
1180000,1.0573673,0.0029999295,-1.545499952044338,674.8,-0.115851,-1.5454998317174613
1190000,1.0516849,0.002999929,-0.4219999760389328,552.35,-0.099867925,-0.4219999281689525
1200000,1.048524,0.0029999283,-0.4412499761674553,541.5,-0.122816294,-0.44124993903096765
1210000,1.0433117,0.002999928,-0.3287499744910747,570.6875,-0.11577842,-0.3287499484140426
1220000,1.0338562,0.0029999274,-0.37437497347127646,630.125,-0.12002922,-0.37437494401820004
1230000,1.0285059,0.0029999267,-0.4589999757707119,547.2,-0.1055746,-0.45899995006620886
1240000,1.0281175,0.0029999262,-0.5274999751709402,591.25,-0.09275355,-0.527499953750521
1250000,1.0271808,0.0029999255,-0.2937499724794179,654.6875,-0.10800951,-0.29374993219971657
1260000,1.0235752,0.0029999246,-0.08473681609489415,609.8947368421053,-0.11040231,-0.08473676835235797
1270000,1.0203934,0.0029999244,-0.6172727002677593,641.0909090909091,-0.072159015,-0.6172726677561348
1280000,1.0170981,0.002999924,-0.33823526815018234,587.0588235294117,-0.09305939,-0.33823521029861536
1290000,1.0138367,0.002999923,-0.5226666371027628,654.4666666666667,-0.0806316,-0.5226665870596965
1300000,1.0111301,0.0029999225,-0.3881249724654481,690.5,-0.08899813,-0.3881249101832509
1310000,1.0117927,0.0029999223,-0.528749973513186,621.125,-0.09769118,-0.5066666134943565
1320000,1.0078732,0.002999921,-0.3714285450322287,592.1904761904761,-0.10821418,-0.39363630319183524
1330000,1.0040513,0.0029999209,-0.16249997494742274,618.8333333333334,-0.054924663,-0.1624999394019445
1340000,1.0046995,0.0029999202,-0.3954999749548733,563.45,-0.08590798,-0.39549992559477687
1350000,1.0011902,0.0029999195,-0.25944442126072115,549.0555555555555,-0.09002973,-0.2594443891818325
